acc,f1,weighted_f1,prec,weighted_prec,rec,weighted_rec,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr,safe1,safe2,neg_weight,margin,supcon_loss_weight,triplet_loss_weight
0.4625698324022346,0.5245051672899373,0.4799383858207993,0.4942122568397666,0.6114897329084089,0.6284294777021597,0.4625698324022346,MIntRec,MIntRec-OOD,mult,ma,bert-base-uncased,0.0,mult_ma_MIntRec_multi-class_0_2024-12-04-20-07-22,3e-05,0.7,0.7,0.5,0.6,0.6,0.6
0.4782122905027933,0.5097639516131744,0.4941588535483027,0.4721282767872556,0.6258848260358681,0.6186717483439198,0.4782122905027933,MIntRec,MIntRec-OOD,mult,ma,bert-base-uncased,1.0,mult_ma_MIntRec_multi-class_0_2024-12-04-20-07-22,2.9999999999999997e-05,0.7,0.7,0.5,0.6,0.6,0.6
0.4625698324022346,0.501257477843249,0.47914933245515995,0.47814889441522596,0.5874040575984923,0.5948469114467155,0.4625698324022346,MIntRec,MIntRec-OOD,mult,ma,bert-base-uncased,2.0,mult_ma_MIntRec_multi-class_0_2024-12-04-20-07-22,3e-05,0.7,0.7,0.5,0.6,0.6,0.6
0.4692737430167598,0.5227227701473355,0.4785631566273723,0.4829053325497553,0.5926108160354786,0.6332900212361385,0.4692737430167598,MIntRec,MIntRec-OOD,mult,ma,bert-base-uncased,3.0,mult_ma_MIntRec_multi-class_0_2024-12-04-20-07-22,2.9999999999999997e-05,0.7,0.7,0.5,0.6,0.6,0.6
0.48268156424581005,0.5189170292931571,0.4938780475915122,0.4816668280748757,0.6090398062634289,0.6234727622420118,0.4826815642458101,MIntRec,MIntRec-OOD,mult,ma,bert-base-uncased,4.0,mult_ma_MIntRec_multi-class_0_2024-12-04-20-07-22,3e-05,0.7,0.7,0.5,0.6,0.6,0.6
...,,,,,,,,,,,,,,,,,,,,
39.81,42.96,41.25,41.87,47.12,47.42,39.81,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,0.0,mult_ma_MIntRec2_multi-class_0_2024-12-04-20-58-51,2.9999999999999997e-05,0.7,0.7,0.5,0.6,0.6,0.6
34.98,40.88,34.14,38.96,44.27,47.54,34.98,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,1.0,mult_ma_MIntRec2_multi-class_0_2024-12-04-20-58-51,3e-05,0.7,0.7,0.5,0.6,0.6,0.6
36.66,42.01,35.56,39.72,42.47,48.58,36.66,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,2.0,mult_ma_MIntRec2_multi-class_0_2024-12-04-20-58-51,2.9999999999999997e-05,0.7,0.7,0.5,0.6,0.6,0.6
37.06,42.37,36.16,40.08,43.39,48.87,37.06,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,3.0,mult_ma_MIntRec2_multi-class_0_2024-12-04-20-58-51,3e-05,0.7,0.7,0.5,0.6,0.6,0.6
34.89,39.63,30.37,37.64,48.03,48.12,34.89,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,4.0,mult_ma_MIntRec2_multi-class_0_2024-12-04-20-58-51,2.9999999999999997e-05,0.7,0.7,0.5,0.6,0.6,0.6
33.56,35.73,29.82,33.38,46.61,44.0,33.56,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,0.0,mult_ma_MIntRec2_multi-class_0_2024-12-04-22-44-40,3e-05,0.7,0.7,0.5,0.6,0.6,0.6
